agency_name,phone,city,country
"REALTY EXPERTS MEXICO","528182208480","Monterrey","Mexico"
"Alfa Inmobiliaria Innova","528110990251","Monterrey","Mexico"
"CIMA Inmuebles","528119589998","Monterrey","Mexico"
"Ruba Monterrey","528002887822","Monterrey","Mexico"
"Quantium Desarrollos Inmobiliarios Monterrey","528110752092","Monterrey","Mexico"
"RentaTEC Real Estate","528135730840","Monterrey","Mexico"
"Grupo Inmobiliario Monterrey, S.A. De C.V.","528183633108","Monterrey","Mexico"
"Realty Experts Herrera & Palacios","528189892929","Monterrey","Mexico"
"RE Brokers Inmobiliaria","528116186277","Monterrey","Mexico"
"Fama Inmuebles","528180404080","Monterrey","Mexico"
"Colliers Monterrey","528141601200","Monterrey","Mexico"
"Valle Meret - Showroom","528136247228","Monterrey","Mexico"
"Misión Obispado S.A. de C.V.","528183443250","Monterrey","Mexico"
"Concasa","528180445959","Monterrey","Mexico"
"CUMBRE GRUPO INMOBILIARIO","528110967623","Monterrey","Mexico"
"MIRAM agencia inmobiliaria","528115894898","Monterrey","Mexico"
"Alur Real Estate","528183151637","Monterrey","Mexico"
"Los Andes Grupo Inmobiliario","528183462379","Monterrey","Mexico"
"Grupo Via Inmuebles","528183786238","Monterrey","Mexico"
"Terraquio Inmobiliaria","528187776388","Monterrey","Mexico"
"NÓBEK","528113596801","Monterrey","Mexico"
"IGLU PROYECTOS INMOBILIARIOS","528112143422","Monterrey","Mexico"
"Natal San Jerónimo","528117379236","Monterrey","Mexico"
"Inmobiliaria 1644","528115555542","Monterrey","Mexico"
"Alfa Inmobiliaria Poniente","528110950600","Monterrey","Mexico"
"RADE Grupo Inmobiliario","528120914500","Monterrey","Mexico"
"Mundo Raiz","528184007711","Monterrey","Mexico"
"Avaluo Monterrey","528112736872","Monterrey","Mexico"
"LAURENCE ASOCIADOS","528183407743","Monterrey","Mexico"
"PERFECTPLACE INMUEBLES","528121029716","Monterrey","Mexico"
"Julián Bienes Raíces","528183154043","Monterrey","Mexico"
"HOGARIA","528121890268","Monterrey","Mexico"
"Orange Blood","528134140359","Monterrey","Mexico"
"KW Regio Norte","528125178829","Monterrey","Mexico"
"CSI Servicios Inmobiliarios, S.A. de C.V.","528119695530","Monterrey","Mexico"
"SIETE CIFRAS","528182025116","Monterrey","Mexico"
"Monterrey Vertical","528116031556","Monterrey","Mexico"
"CIEN Grupo Inmobiliario","528183562200","Monterrey","Mexico"
"Mty Bienes Raíces","528118707777","Monterrey","Mexico"
"Inmobiliaria inmoplus Quito","593984712509","Quito","Ecuador"
"Ksa Inmobiliaria","593984536943","Quito","Ecuador"
"Metro Asesores","593997097301","Quito","Ecuador"
"Innova Real Estate Ecuador - Inmobiliaria de Lujo","593992792495","Quito","Ecuador"
"DINMO Inmobiliaria","593958882555","Quito","Ecuador"
"Construinversion Bienes Raíces","593982651312","Quito","Ecuador"
"C.B.R. Adrián García, Asesor inmobiliario, Corredor de bienes Raíces","593987456095","Quito","Ecuador"
"Inmobiliaria La Coruña","593987331373","Quito","Ecuador"
"Hauser Ecuador Inmobiliaria","593962076487","Quito","Ecuador"
"GESTIÓN INMOBILIARIA","593987548517","Quito","Ecuador"
"Habitare Inmobiliaria","593998863762","Quito","Ecuador"
"INMOBUSINESS","593991638242","Quito","Ecuador"
"Metrourbana Broker Inmobiliario","593962523117","Quito","Ecuador"
"La Viña Inmobiliaria","593999380070","Quito","Ecuador"
"Quito Prime Inmobiliaria","593993577381","Quito","Ecuador"
"Grupo ANCON Inmobiliario","593993997842","Quito","Ecuador"
"Domus Gestión Inmobiliaria","593999837729","Quito","Ecuador"
"Full Home Inmobiliaria","593987108372","Quito","Ecuador"
"Maggy Ortiz Inmobiliaria","593939949000","Quito","Ecuador"
"INMOPRO INMOBILIARIA Valle de los Chillos y Quito Renta - Arriendo - Alquiler - Venta de Propiedades","593984427128","Quito","Ecuador"
"Transparencia Inmobiliaria","593998572851","Quito","Ecuador"
"sicasa","593983731845","Quito","Ecuador"
"Conexión Inmobiliaria","593987415790","Quito","Ecuador"
"Leonor Orejarena Bienes Raices","593997960902","Quito","Ecuador"
"EVOLUTION INMOBILIARIA","593996316709","Quito","Ecuador"
"Aquaterra Realty Estate Ecuador","593998002003","Quito","Ecuador"
"Ikona Inmobiliaria","593962269696","Quito","Ecuador"
"Grace Cevallos Agente Inmobiliaria","593960895800","Quito","Ecuador"
"Inmobiliaria Sur Ecuador — Quito","593998959944","Quito","Ecuador"
"David Ortiz Realtor Inversión Inmobiliaria & Lujo | Exp Realty","593996007799","Quito","Ecuador"
"Merka Inmueble","593979396777","Quito","Ecuador"
"Bienes Raíces Catedral Cía. Ltda. Sucursal Quito","593999827088","Quito","Ecuador"
"Inmobiliaria","593999675236","Quito","Ecuador"
"Inmoplatinum Corporación Inmobiliaria","593995679277","Quito","Ecuador"
"Inmobiliaria Mastarreno","593969139500","Guayaquil","Ecuador"
"Walter Robalino Bienes Raices Ecuador & Real Estate Ecuador","593987738176","Guayaquil","Ecuador"
"Travi - Elite","593989927255","Guayaquil","Ecuador"
"GeoBienes","593999256900","Guayaquil","Ecuador"
"Inmobiliaria Inmnova Group bienes raíces","593958735941","Guayaquil","Ecuador"
"Crecer Inmobiliaria","595213381199","Asuncion","Paraguay"
"Inmobiliaria Nueva Alianza Propiedades","595213283328","Asuncion","Paraguay"
"ULTRA Real Estate","595213288696","Asuncion","Paraguay"
"Urba Inmobiliaria","59521204646","Asuncion","Paraguay"
"Atalaya Inmuebles - Casa Central","59521215040","Asuncion","Paraguay"
"Family Apartments","51987146120","Lima","Peru"
"Ter Inmobiliaria","51981412312","Lima","Peru"
"Alfredo Graf & Asociados","51998114235","Lima","Peru"
"Inmobiliaria JY","51966354010","Lima","Peru"
"Inmobiliaria Inspira","51976311007","Lima","Peru"
"Inmobiliaria de Lima","51986365625","Lima","Peru"
"Agencia Inmobiliaria Portal Inmuebles","51979430101","Lima","Peru"
"GRUPO PROYECTA REAL ESTATE | INMOBILIARIA EN LIMA","51917835221","Lima","Peru"
"Inmobiliaria Ejemplo","5491112345678","Buenos Aires","Argentina"